GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
151887	1.29e-62	2.92e-64	0.0351	16.925404	0.5945305	26027.41	CCDC80	coiled-coil domain containing 80
100507347	2.02e-62	4.60e-64	0.0335	16.898701	0.5661686	19865.91	VIM-AS1	VIM antisense RNA 1
4511	3.64e-62	8.31e-64	0.051	-16.863799	-0.8597597	2671.55	TRNC	tRNA-Cys
2896	3.92e-62	8.95e-64	0.0423	-16.859365	-0.7128232	12072.88	GRN	granulin precursor
8794	5.52e-62	1.26e-63	0.1234	-16.838934	-2.0772345	261.02	TNFRSF10C	TNF receptor superfamily member 10c
55143	6.47e-62	1.49e-63	0.072	16.829418	1.211403	1048.08	CDCA8	cell division cycle associated 8
4605	6.70e-62	1.54e-63	0.0703	16.827209	1.1832777	1106.36	MYBL2	MYB proto-oncogene like 2
55635	8.61e-62	1.99e-63	0.0695	16.812175	1.1692407	1016.85	DEPDC1	DEP domain containing 1
283349	9.20e-62	2.13e-63	0.0549	-16.808088	-0.9219397	2064.81	RASSF3	Ras association domain family member 3
3709	9.34e-62	2.17e-63	0.0687	-16.807072	-1.1542785	1021.5	ITPR2	inositol 1,4,5-trisphosphate receptor type 2
6932	1.80e-61	4.19e-63	0.1342	16.767879	2.2497005	244.37	TCF7	transcription factor 7
4173	1.87e-61	4.35e-63	0.0476	16.765617	0.7979032	3257.23	MCM4	minichromosome maintenance complex component 4
119587	2.31e-61	5.39e-63	0.0677	-16.752906	-1.1343793	1322.45	CPXM2	carboxypeptidase X, M14 family member 2
5270	3.72e-61	8.71e-63	0.0374	-16.724398	-0.6251948	49803.48	SERPINE2	serpin family E member 2
3151	4.49e-61	1.06e-62	0.0473	16.712941	0.7912205	3161.04	HMGN2	high mobility group nucleosomal binding domain 2
858	5.61e-61	1.32e-62	0.0402	-16.699561	-0.6711476	6664.51	CAV2	caveolin 2
64759	8.01e-61	1.89e-62	0.0482	-16.678145	-0.8034778	12105.44	TNS3	tensin 3
85301	1.30e-60	3.08e-62	0.0511	-16.648999	-0.8512668	2485.46	COL27A1	collagen type XXVII alpha 1 chain
323	1.65e-60	3.91e-62	0.0491	-16.634667	-0.81631	2162.11	APBB2	amyloid beta precursor protein binding family B member 2
9212	1.73e-60	4.11e-62	0.0859	16.631665	1.4286436	651.34	AURKB	aurora kinase B
55215	1.82e-60	4.34e-62	0.0557	16.628423	0.9268417	2022.01	FANCI	FA complementation group I
3209	2.53e-60	6.05e-62	0.0606	-16.608515	-1.00661	1232.98	HOXA13	homeobox A13
644936	7.90e-60	1.89e-61	0.0481	16.540023	0.795946	2712.87	LOC644936	actin beta pseudogene
2132	9.50e-60	2.28e-61	0.0351	-16.528721	-0.5804936	9435.3	EXT2	exostosin glycosyltransferase 2
4172	1.53e-59	3.67e-61	0.0504	16.499903	0.8313175	2411.58	MCM3	minichromosome maintenance complex component 3
9918	1.59e-59	3.83e-61	0.0482	16.497378	0.7959426	2690.05	NCAPD2	non-SMC condensin I complex subunit D2
7398	2.49e-59	6.02e-61	0.0578	16.470119	0.9524416	1719.35	USP1	ubiquitin specific peptidase 1
23089	4.54e-59	1.10e-60	0.0514	16.433642	0.8454794	3566.03	PEG10	paternally expressed 10
24137	4.68e-59	1.14e-60	0.0715	16.43156	1.1743955	970.72	KIF4A	kinesin family member 4A
4043	4.76e-59	1.16e-60	0.0483	-16.430509	-0.7932433	4671.37	LRPAP1	LDL receptor related protein associated protein 1
2121	4.90e-59	1.19e-60	0.0425	-16.428575	-0.698185	4632.98	EVC	EvC ciliary complex subunit 1
2799	5.38e-59	1.31e-60	0.0352	-16.422776	-0.5773177	11165.64	GNS	glucosamine (N-acetyl)-6-sulfatase
672	5.53e-59	1.36e-60	0.0678	16.420893	1.1125995	984.54	BRCA1	BRCA1 DNA repair associated
9315	5.86e-59	1.44e-60	0.0401	16.417264	0.657818	11823.65	NREP	neuronal regeneration related protein
8674	8.59e-59	2.11e-60	0.0666	-16.393912	-1.091445	1494.75	VAMP4	vesicle associated membrane protein 4
51512	8.80e-59	2.17e-60	0.064	16.392315	1.048891	1179.88	GTSE1	G2 and S-phase expressed 1
284297	1.23e-58	3.05e-60	0.0546	16.371651	0.894431	2135.23	SSC5D	scavenger receptor cysteine rich family member with 5 domains
23224	1.39e-58	3.44e-60	0.0698	16.364324	1.141882	855.86	SYNE2	spectrin repeat containing nuclear envelope protein 2
23229	1.61e-58	3.99e-60	0.0609	-16.355296	-0.9966091	1273.71	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9
2825	1.86e-58	4.64e-60	0.0961	16.346107	1.5702296	564.6	CMKLR2	chemerin chemokine-like receptor 2
1803	2.04e-58	5.08e-60	0.1496	-16.340521	-2.4437701	7120.32	DPP4	dipeptidyl peptidase 4
894	3.83e-58	9.58e-60	0.1372	-16.301836	-2.2359315	250.7	CCND2	cyclin D2
51222	4.70e-58	1.18e-59	0.0766	-16.289176	-1.2478719	1096.24	ZNF219	zinc finger protein 219
57619	5.43e-58	1.36e-59	0.0566	16.280174	0.9208518	4235.19	SHROOM3	shroom family member 3
1303	8.24e-58	2.08e-59	0.0327	-16.254515	-0.5307992	104457.91	COL12A1	collagen type XII alpha 1 chain
10403	1.61e-57	4.07e-59	0.0736	16.213218	1.1928918	853.56	NDC80	NDC80 kinetochore complex component
3136	2.40e-57	6.06e-59	0.0454	-16.18866	-0.7352276	2643.92	HLA-H	major histocompatibility complex, class I, H (pseudogene)
22925	2.94e-57	7.46e-59	0.0619	-16.175873	-1.0017205	2074.95	PLA2R1	phospholipase A2 receptor 1
23220	3.10e-57	7.86e-59	0.0996	-16.172649	-1.6109345	405.51	DTX4	deltex E3 ubiquitin ligase 4
9928	3.16e-57	8.05e-59	0.0718	16.171197	1.1615722	907.91	KIF14	kinesin family member 14
23508	4.15e-57	1.06e-58	0.1489	-16.154337	-2.4052773	243.97	TTC9	tetratricopeptide repeat domain 9
4192	5.85e-57	1.50e-58	0.0764	16.132966	1.2319026	754.3	MDK	midkine
154796	6.39e-57	1.64e-58	0.1773	16.127409	2.8591816	168.04	AMOT	angiomotin
4212	8.48e-57	2.18e-58	0.0588	16.109745	0.9470308	1350.46	MEIS2	Meis homeobox 2
7468	1.17e-56	3.02e-58	0.0452	16.089606	0.7272979	5341.22	NSD2	nuclear receptor binding SET domain protein 2
2006	1.76e-56	4.55e-58	0.1305	16.064147	2.0966487	22909.78	ELN	elastin
84675	1.94e-56	5.00e-58	0.1119	16.058247	1.7976757	427.27	TRIM55	tripartite motif containing 55
4293	2.12e-56	5.50e-58	0.1216	-16.05243	-1.9516995	268.67	MAP3K9	mitogen-activated protein kinase kinase kinase 9
4541	2.17e-56	5.65e-58	0.0494	-16.050748	-0.7929174	26973.79	ND6	NADH dehydrogenase subunit 6
22875	2.96e-56	7.70e-58	0.0923	-16.031537	-1.4803152	456.62	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4
400550	3.77e-56	9.83e-58	0.123	-16.016345	-1.9706308	296.88	FENDRR	FOXF1 adjacent non-coding developmental regulatory RNA
8337	4.24e-56	1.11e-57	0.1444	-16.008794	-2.3122926	207.99	H2AC18	H2A clustered histone 18
2932	4.70e-56	1.23e-57	0.0413	-16.002302	-0.6614954	4412.39	GSK3B	glycogen synthase kinase 3 beta
55771	5.19e-56	1.36e-57	0.0679	15.996028	1.0866978	1837.93	PRR11	proline rich 11
23268	7.77e-56	2.04e-57	0.0473	-15.970746	-0.7557908	2694.03	DNMBP	dynamin binding protein
54587	8.77e-56	2.31e-57	0.0374	15.963026	0.59628	11670.59	MXRA8	matrix remodeling associated 8
22941	2.25e-55	5.96e-57	0.1657	15.903867	2.635738	192.67	SHANK2	SH3 and multiple ankyrin repeat domains 2
27345	3.04e-55	8.06e-57	0.1458	-15.884925	-2.3157908	241.67	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4
