"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"REAC","DNA Double Strand Break Response","REAC:R-HSA-5693606","false","0.002988625955702232","2.5245284360947395","63","772","13","16535","H2BC8,H4C8,H4C5,H2BC21,H2BC11,H2BC12L,H2BC5,H2BC12,H4C16,H2BC17,H2BC15,H4C15,H4C14"
"REAC","Signal Transduction","REAC:R-HSA-162582","false","0.004645718297158794","2.332947128091235","1967","772","132","16535","VIPR1,CCL11,C3,CCL5,PTPRZ1,ELF3,NPBWR1,WNT7B,SH3GL2,AREG,CX3CR1,PDE11A,DLL4,SAA1,CCL7,APOD,EREG,BTC,CNTN1,CSF2,CYP26B1,ABCG1,RASGRF2,GNA14,CXCL6,TGFB2,LPAR3,FOSB,ACVR1C,H2BC8,COL4A3,IL32,H4C8,H2AC19,COL4A4,SPINT1,PLPPR4,PIK3R3,PDGFD,IGF1,H4C5,SOCS1,LOC105378858,CXCL1,H2BC21,VAV3,H2AC6,RUNX3,SHC2,F2RL2,ANOS1,RRAD,DUSP4,CYFIP2,H2BC11,CCL2,F11R,H2AC20,H3C4,H3C10,DOCK8,PCSK5,JAG2,DTX4,GALNT3,H2BC12L,H2BC5,ADORA1,FAM169A,H2BC12,PLD1,DUSP6,CXCL3,H4C16,PARD6B,F2RL1,KALRN,OPRD1,ARRB1,MPP7,ACKR4,FOS,WNT9A,PLCG2,RGS16,ST3GAL6,PREX2,SPTBN2,H3C6,H2BC17,TEC,PRAG1,HTR2B,ABCA1,H2AC8,CXCL2,DKK2,PRDM1,CXCL8,BMP2,H2BC15,ADORA2A,EGF,PTPRO,CPNE8,DOCK4,CXCL5,LTK,GPR37,PTPRK,H4C15,H4C14,RRAGD,MSI2,SMPD3,ITPR2,SOX6,FRAT2,RDH10,GAS1,CSF2RB,BDKRB2,RGS17,RND3,PIK3CD,ADAP1,LAMA3,CDKN2B,SHC3,HGF,PTPN3,RARB"
"REAC","Signaling by Interleukins","REAC:R-HSA-449147","false","0.006217819884756351","2.2063618625741683","356","772","36","16535","CCL11,CCL5,PTPRZ1,LCP1,CD36,IL1B,IL1A,INPP5D,EBI3,SAA1,CSF2,IL34,SOD2,CSF3,IL32,PIK3R3,SOCS1,CXCL1,SNAP25,DUSP4,CCL2,H3C4,H3C10,IL12A,DUSP6,OPRD1,FOS,H3C6,ICAM1,TEC,CXCL2,CXCL8,CASP1,CSF2RB,PIK3CD,HGF"
"REAC","Extracellular matrix organization","REAC:R-HSA-1474244","false","0.011455371931477384","1.9409908056307588","226","772","26","16535","TGFB2,ASPN,COL4A3,CTSS,COL8A1,ITGB4,COL4A4,MMP12,LOXL4,FMOD,F11R,A2M,ADAMTS5,CTSK,ICAM1,FBLN1,MMP15,ADAM8,BMP2,AGRN,JAM2,NTN4,ICAM2,LOXL2,LAMA3,BMP4"
"REAC","Regulation of Complement cascade","REAC:R-HSA-977606","false","0.01691708576994033","1.7716744488052805","21","772","7","16535","C3,CFI,CFHR3,C8G,CFHR1,CFH,CLU"
"REAC","Chromosome Maintenance","REAC:R-HSA-73886","false","0.01833519507836911","1.736714464977524","118","772","17","16535","H2BC8,H4C8,H2AC19,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H2BC12L,H2BC5,H2BC12,H4C16,H2BC17,H2AC8,H2BC15,H4C15,H4C14"
"REAC","DNA Replication","REAC:R-HSA-69306","false","0.023937684833494403","1.6209178552938073","157","772","20","16535","H2BC8,H4C8,H2AC19,H4C5,H2BC21,H2AC6,H2BC11,H2AC20,H3C4,H3C10,H2BC12L,H2BC5,H2BC12,H4C16,H3C6,H2BC17,H2AC8,H2BC15,H4C15,H4C14"
"REAC","Interleukin-4 and Interleukin-13 signaling","REAC:R-HSA-6785807","false","0.028707010062094137","1.5420120384736724","77","772","13","16535","CCL11,CD36,IL1B,IL1A,SAA1,SOCS1,CCL2,IL12A,OPRD1,FOS,ICAM1,CXCL8,HGF"
"REAC","G alpha (i) signalling events","REAC:R-HSA-418594","false","0.031415350611359596","1.5028580889727414","160","772","20","16535","C3,CCL5,NPBWR1,CX3CR1,SAA1,GNA14,CXCL6,LPAR3,CXCL1,ADORA1,CXCL3,OPRD1,RGS16,CXCL2,CXCL8,CXCL5,GPR37,ITPR2,BDKRB2,RGS17"
"REAC","Interaction between L1 and Ankyrins","REAC:R-HSA-445095","false","0.0328625697470817","1.4832984791437607","23","772","7","16535","SCN3B,L1CAM,SCN1A,ANK1,SPTBN2,KCNQ3,SCN4B"
