Gene	Omitted_model	Full_pooled_log2FoldChange	Effect_change_from_full	Absolute_effect_change	Same_direction_as_full	Models_included	Pooled_log2FoldChange	Pooled_SE	CI95_lower	CI95_upper	Pooled_pvalue	Q	Q_df	Q_pvalue	Tau_squared	I2_percent	CI_excludes_zero	Overall_direction
CDKN2B	HAEC_IR	0.5851811471900102	0.0426554973926907	0.0426554973926907	True	7	0.6278366445827009	0.5388030401941087	-0.4282173141977522	1.683890603363154	0.24392051406607362	262.18551361986067	6	1.0183381214953403e-53	1.9470256169963307	97.71154404484021	False	No clear overall direction
CDKN2B	HUVEC_IR	0.5851811471900102	0.017261114618006945	0.017261114618006945	True	7	0.6024422618080172	0.5408127553937556	-0.45755073876374386	1.6624352623797782	0.2652975491811831	273.2784666618076	6	4.313326870371782e-56	1.9621770890634322	97.80443732969812	False	No clear overall direction
CDKN2B	IMR90_IR	0.5851811471900102	0.04161050854031889	0.04161050854031889	True	7	0.6267916557303291	0.5388457641167931	-0.4293460419385854	1.6829293533992438	0.24474365198833914	267.11747887594515	6	8.974169372463496e-55	1.9478383275358817	97.75379730849193	False	No clear overall direction
CDKN2B	IMR90_Replicative	0.5851811471900102	-0.04562455353682726	0.04562455353682726	True	7	0.539556593653183	0.5391177519234847	-0.517114200116847	1.596227387423213	0.3169167399601738	265.6634455124943	6	1.8366574861827687e-54	1.9500668023415004	97.74150335646466	False	No clear overall direction
CDKN2B	WI38_Doxorubicin	0.5851811471900102	0.1252663155527034	0.1252663155527034	True	7	0.7104474627427136	0.5081710111646345	-0.2855677191399699	1.7064626446253972	0.16209865537589607	272.79648948347256	6	5.469534239867383e-56	1.7792256892020477	97.80055820683003	False	No clear overall direction
CDKN2B	WI38_HRAS	0.5851811471900102	-0.3626442277044837	0.3626442277044837	True	7	0.22253691948552656	0.1927676280369741	-0.15528763146694263	0.6003614704379958	0.24832352492402765	41.02751522802572	6	2.859750348687853e-07	0.21130709051855012	85.37566809334477	False	No clear overall direction
CDKN2B	WI38_IR	0.5851811471900102	0.046250556431881584	0.046250556431881584	True	7	0.6314317036218918	0.5374700624988736	-0.4220096188759005	1.6848730261196843	0.24006589943281786	273.2284156517495	6	4.421024046920288e-56	1.9434184994006316	97.80403513826049	False	No clear overall direction
CDKN2B	WI38_Replicative	0.5851811471900102	0.18592898469494457	0.18592898469494457	True	7	0.7711101318849548	0.4957554690588405	-0.20057058747037249	1.742790851240282	0.11984503683131197	251.43169310374086	6	2.0274981381845519e-51	1.6459181186202563	97.61366599177121	False	No clear overall direction
IL1A	HAEC_IR	0.44125984977247334	0.34718107015264044	0.34718107015264044	True	7	0.7884409199251138	1.6494032972743145	-2.444389542732542	4.0212713825827695	0.6326389235589758	1008.3267897779926	6	1.4140184453157033e-214	18.819390603746463	99.40495481615429	False	No clear overall direction
IL1A	HUVEC_IR	0.44125984977247334	0.07653307330599557	0.07653307330599557	True	7	0.5177929230784689	1.6958131703626342	-2.806000890832294	3.841586736989232	0.7601102094771193	1034.3547446922184	6	3.3162673521242376e-220	19.88750315331796	99.41992821797464	False	No clear overall direction
IL1A	IMR90_IR	0.44125984977247334	0.6413470455344381	0.6413470455344381	True	7	1.0826068953069115	1.5309401303272403	-1.9180357601344795	4.083249550748302	0.4794722186896512	764.1605389526684	6	8.515298068450329e-162	16.160761290920536	99.21482467437754	False	No clear overall direction
IL1A	IMR90_Replicative	0.44125984977247334	0.7080789214858505	0.7080789214858505	True	7	1.1493387712583238	1.4907826595323062	-1.7725952414249961	4.071272783941644	0.4407286643213344	839.316454074435	6	4.9156272736334434e-178	15.319513436838374	99.28513256580719	False	No clear overall direction
IL1A	WI38_Doxorubicin	0.44125984977247334	-0.25800848229122	0.25800848229122	True	7	0.1832513674812534	1.671944220347667	-3.0937593044001743	3.460262039362681	0.9127236312245793	1028.5546793793583	6	5.959954343362258e-219	19.328402291809052	99.41665716754888	False	No clear overall direction
IL1A	WI38_HRAS	0.44125984977247334	-1.0794394840115706	1.0794394840115706	False	7	-0.6381796342390974	1.1681425638562313	-2.9277390593973105	1.651379790919116	0.5848459973408295	341.77916862210816	6	8.975948344115479e-71	9.305706195843563	98.24448048598481	False	No clear overall direction
IL1A	WI38_IR	0.44125984977247334	-0.4799226695199746	0.4799226695199746	False	7	-0.03866281974750125	1.6049674188618326	-3.184398960716693	3.1070733212216903	0.9807812399953242	1002.8200936483827	6	2.195188653845568e-213	17.80428777282159	99.40168729785108	False	No clear overall direction
IL1A	WI38_Replicative	0.44125984977247334	0.0383285242478002	0.0383285242478002	True	7	0.47958837402027354	1.6940267691490574	-2.840704093511879	3.799880841552426	0.7770959300753336	1042.2292356854696	6	6.565991772863284e-222	19.927843685380772	99.4243109102525	False	No clear overall direction
CXCL8	HAEC_IR	0.9669494528122298	0.10064172106992664	0.10064172106992664	True	7	1.0675911738821564	2.2234458998118973	-3.2903627897491625	5.425545137513476	0.6311195778834051	4522.846371741254	6	0.0	34.24468961838132	99.86734017680796	False	No clear overall direction
CXCL8	HUVEC_IR	0.9669494528122298	0.21198034402945187	0.21198034402945187	True	7	1.1789297968416816	2.213302052216352	-3.159142225502368	5.517001819185731	0.5942713607448903	5535.760510158974	6	0.0	33.930036506455046	99.8916138082746	False	No clear overall direction
CXCL8	IMR90_IR	0.9669494528122298	0.8763568486420552	0.8763568486420552	True	7	1.843306301454285	1.9856101680300353	-2.0484896278845843	5.735102230793154	0.35323515964035135	1832.8557756342532	6	0.0	27.240055575218804	99.67264200054564	False	No clear overall direction
CXCL8	IMR90_Replicative	0.9669494528122298	1.0248562043206302	1.0248562043206302	True	7	1.99180565713286	1.882859123626868	-1.6985982251758012	5.682209539441521	0.2901182312234729	5399.671057620898	6	0.0	24.493159166351997	99.88888212011486	False	No clear overall direction
CXCL8	WI38_Doxorubicin	0.9669494528122298	-0.5934844620457416	0.5934844620457416	True	7	0.37346499076648826	2.1046065576658224	-3.7515638622585237	4.4984938437915005	0.859153981809983	5515.491379489073	6	0.0	30.874657925012677	99.89121549491831	False	No clear overall direction
CXCL8	WI38_HRAS	0.9669494528122298	-1.2167923013160618	1.2167923013160618	False	7	-0.249842848503832	1.7441180015712743	-3.66831413158353	3.1686284345758655	0.8860936732939539	3938.3523204698577	6	0.0	20.946053077179414	99.84765202521841	False	No clear overall direction
CXCL8	WI38_IR	0.9669494528122298	-0.7015838889848426	0.7015838889848426	True	7	0.2653655638273872	2.073257392789202	-3.7982189260394486	4.328950053694223	0.8981533177933404	5349.989052491429	6	0.0	29.759988703397667	99.88785023780179	False	No clear overall direction
CXCL8	WI38_Replicative	0.9669494528122298	0.2912334136701997	0.2912334136701997	True	7	1.2581828664824295	2.199392785149316	-3.0526269924102296	5.568992725375089	0.5672818721296011	5534.902489777618	6	0.0	33.5558427029001	99.89159700625112	False	No clear overall direction
ICAM1	HAEC_IR	0.7779540762727813	-0.14456491881902622	0.14456491881902622	True	7	0.6333891574537551	0.6354641912070534	-0.6121206573120697	1.87889897221958	0.31889334194324415	716.1881877981301	6	1.9547936260894003e-151	2.7449783226583317	99.16223136569083	False	No clear overall direction
ICAM1	HUVEC_IR	0.7779540762727813	-0.15519760833884666	0.15519760833884666	True	7	0.6227564679339347	0.6321318203551604	-0.6162218999621797	1.861734835830049	0.324541224644218	806.2286740396372	6	6.944628795878633e-171	2.716184908558403	99.25579426864877	False	No clear overall direction
ICAM1	IMR90_IR	0.7779540762727813	0.26159287714787427	0.26159287714787427	True	7	1.0395469534206556	0.5856274432616961	-0.10828283537226868	2.18737674221358	0.07588146752161455	619.571783090642	6	1.3982789563351878e-130	2.320805167969862	99.03158920987816	False	No clear overall direction
ICAM1	IMR90_Replicative	0.7779540762727813	0.3265765837955451	0.3265765837955451	True	7	1.1045306600683265	0.5415210398731152	0.04314942191702076	2.1659118982196324	0.04138201946080265	607.7383764948949	6	4.994477596914127e-128	1.9747037880910654	99.01273307198325	True	Overall increase
ICAM1	WI38_Doxorubicin	0.7779540762727813	-0.04318993709674446	0.04318993709674446	True	7	0.7347641391760369	0.6481278827358492	-0.5355665109862275	2.005094789338301	0.25693234920195196	929.1218785865184	6	1.8996458212481063e-197	2.913263729500705	99.35422896196053	False	No clear overall direction
ICAM1	WI38_HRAS	0.7779540762727813	-0.22254399991107643	0.22254399991107643	True	7	0.5554100763617049	0.604646694628397	-0.6296974451099533	1.7405175978333631	0.35832073546923016	876.3318469712585	6	4.91119068578529e-186	2.4841547047806176	99.31532786115935	False	No clear overall direction
ICAM1	WI38_IR	0.7779540762727813	-0.23830947602550068	0.23830947602550068	True	7	0.5396446002472807	0.5969220554264553	-0.6303226283885716	1.709611828883133	0.3659713622174795	868.8486246085752	6	2.0357104490130413e-184	2.4193591686469933	99.30943091465409	False	No clear overall direction
ICAM1	WI38_Replicative	0.7779540762727813	0.218108553657971	0.218108553657971	True	7	0.9960626299307523	0.6067805726560027	-0.19322729247501302	2.185352552336518	0.10068261989778482	878.487460983951	6	1.6796942736492537e-186	2.501863568128249	99.3170078952203	False	No clear overall direction
