Gene	Scenario	Models_included	Degrees_of_freedom	Pooled_log2FoldChange	HKSJ_SE	HKSJ_t_statistic	HKSJ_pvalue	HKSJ_CI95_lower	HKSJ_CI95_upper	Normal_CI95_lower	Normal_CI95_upper	Tau_squared	HKSJ_scale	I2_percent	Heterogeneity	HKSJ_overall_direction
CDKN2B	All_8_models	8	7	0.5851811471900102	0.4675184232847758	1.2516750528856988	0.2508923578044188	-0.5203242545755912	1.6906865489556115	-0.33113812453615443	1.501500418916175	1.6746544664782166	1.0000000000457225	97.45665042750436	Considerable	No clear overall direction
IL1A	All_8_models	8	7	0.44125984977247334	1.470660520879526	0.30004194952386337	0.772859359316371	-3.0362996837593306	3.9188193833042773	-2.4411818046333145	3.323701504178261	17.07469657167701	1.0000000000020817	99.32881491305915	Considerable	No clear overall direction
CXCL8	All_8_models	8	7	0.9669494528122298	1.926962263161043	0.5017998905832327	0.6312033436684473	-3.589592246562489	5.523491152186949	-2.809827182539565	4.743726088164025	29.390788781270288	1.000000000006166	99.87354944471544	Considerable	No clear overall direction
ICAM1	All_8_models	8	7	0.7779540762727813	0.5681193066664627	1.3693498304740954	0.21320262980550295	-0.5654346140688146	2.121342766614377	-0.33553882890028597	1.8914469814458488	2.5103709306490036	1.000000852839143	99.24686354775332	Considerable	No clear overall direction
FOS	All_8_models	8	7	-0.1944583448147167	1.07070645466451	-0.18161686050136622	0.8610305523572599	-2.7262767938513472	2.3373601042219136	-2.2930044339695264	1.9040877443400928	8.89387268189516	1.0000000000020957	98.6292559500742	Considerable	No clear overall direction
