Gene	Comparison	log2FoldChange	lfcSE	padj	Random_effects_weight_percent
CDKN2B	HAEC_IR	0.2715057842764298	0.0900354599919675	0.0083540199261485	12.988980343303346
CDKN2B	HUVEC_IR	0.4411847685976084	0.0911312163025539	6.803461828823897e-06	12.98744821996977
CDKN2B	IMR90_IR	0.2778983663821283	0.1063655154199654	0.0222775720664624	12.964271238675465
CDKN2B	IMR90_Replicative	0.8665328648170068	0.1119147043069265	8.805289127688824e-14	12.954963788004909
CDKN2B	WI38_Doxorubicin	-0.5226666329295877	0.6901447583241267	0.934734010677804	10.161698032503542
CDKN2B	WI38_HRAS	3.579776817481476	0.203187515457671	5.5301399180098244e-67	12.737830160682517
CDKN2B	WI38_IR	0.2392405301893486	0.2252503504217023	0.5184389338334272	12.668046011068313
CDKN2B	WI38_Replicative	-0.7087239204250403	0.2623087236885504	0.0311196397562799	12.536762205792149
IL1A	HAEC_IR	-1.995163707767906	0.5055620428631502	0.0003348146918013	12.480128282459576
IL1A	HUVEC_IR	-0.0946554673974982	0.3555588189504799	0.873271554398514	12.573847156424428
IL1A	IMR90_IR	-4.008288690374047	0.3235978789132909	4.457521219235761e-34	12.589734431319666
IL1A	IMR90_Replicative	-4.488007923846887	0.4002611666833374	6.05170992724056e-28	12.549197664467288
IL1A	WI38_Doxorubicin	2.2364443222809443	0.3884907561764775	2.0339946768739907e-06	12.555961189424886
IL1A	WI38_HRAS	7.892819102896871	0.3001754998094367	3.585039892960259e-149	12.600450503139255
IL1A	WI38_IR	3.8012094745831817	0.4846857239304502	2.38163042588033e-13	12.495033193559129
IL1A	WI38_Replicative	0.1620837510808413	0.8474695620516808	0.9279170838734702	12.155647579205777
CXCL8	HAEC_IR	0.2967670243100669	0.0383559325369698	9.919614255525976e-14	12.633201968221528
CXCL8	HUVEC_IR	-0.4759932282123457	0.0600842430064777	2.6790814541756204e-14	12.632282689530044
CXCL8	IMR90_IR	-5.104183387683436	0.0816363268165776	0.0	12.630970204724676
CXCL8	IMR90_Replicative	-6.221715133842774	0.4933841070983636	4.1079105622193424e-35	12.530054721626547
CXCL8	WI38_Doxorubicin	5.336906101881336	1.2915852640418632	0.0022960835243939	11.955265147558642
CXCL8	WI38_HRAS	9.295229211307468	0.2462850143467959	0.0	12.607814497156292
CXCL8	WI38_IR	5.862177351845513	0.4660024103599271	5.247078587135963e-34	12.541172004077056
CXCL8	WI38_Replicative	-1.052774746881098	0.6228661295158591	0.225562343070638	12.469238767105223
ICAM1	HAEC_IR	1.7684304917342355	0.0844196964417285	1.1089030003255934e-95	12.820638610350738
ICAM1	HUVEC_IR	1.8421488294533035	0.1089913145101413	3.6129603556047576e-62	12.796481973394162
ICAM1	IMR90_IR	-1.0066039667016975	0.1112908084513523	1.3029105021917373e-18	12.793912602705007
ICAM1	IMR90_Replicative	-1.4568132599222183	0.1326073229913022	7.354023344698648e-27	12.76760031555878
ICAM1	WI38_Doxorubicin	1.1317540290603851	0.6580096736563953	0.4965592058852205	10.96572027803521
ICAM1	WI38_HRAS	2.3187873652988022	0.219564656827703	2.322999107940913e-24	12.614783422556519
ICAM1	WI38_IR	2.4260265895650375	0.2196781044349265	3.048966652876199e-26	12.614537741106721
ICAM1	WI38_Replicative	-0.7315125142752844	0.2141724986562586	0.004394393896879	12.626325056292858
FOS	HAEC_IR	-0.1686248329998238	0.3151026966203921	0.7461432496694739	12.747599366884293
FOS	HUVEC_IR	-0.3066672672387131	0.2843047483270294	0.4368926668036337	12.773820550607448
FOS	IMR90_IR	-4.224401466295372	0.4348683791088456	2.5463681936741967e-21	12.621539511827661
FOS	IMR90_Replicative	-4.542823151669503	0.436525852697707	3.410985585946312e-24	12.619532841331068
FOS	WI38_Doxorubicin	0.6950636410000894	1.2426080732051623	0.9697057529989188	10.983120114897012
FOS	WI38_HRAS	1.34586608195314	0.3924393790110729	0.0027774864687113	12.670505590785321
FOS	WI38_IR	4.659242256363248	0.2696722242066514	4.139612398600624e-64	12.785368481589874
FOS	WI38_Replicative	1.0165942819126104	0.2520192911010093	0.0005279614983083	12.79851354207732
