Gene	Total_models	Significant_models	Significant_increases	Significant_decreases	Not_significant	Evidence_coverage_percent	Positive_direction_percent	Signed_direction_balance_percent	Absolute_directional_consistency_percent	Pooled_log2FoldChange	HKSJ_CI95_lower	HKSJ_CI95_upper	HKSJ_pvalue	I2_percent	All_LOO_same_direction_as_full	Minimum_LOO_pooled_log2FoldChange	Maximum_LOO_pooled_log2FoldChange	Most_influential_omitted_model
CDKN2B	8	6	5	1	2	75.0	83.33333333333334	66.66666666666666	66.66666666666666	0.5851811471900102	-0.5203242545755912	1.6906865489556115	0.2508923578044188	97.45665042750436	True	0.2225369194855265	0.7711101318849548	WI38_HRAS
IL1A	8	6	3	3	2	75.0	50.0	0.0	0.0	0.4412598497724733	-3.0362996837593306	3.9188193833042777	0.772859359316371	99.32881491305916	False	-0.6381796342390974	1.1493387712583238	WI38_HRAS
CXCL8	8	7	4	3	1	87.5	57.14285714285714	14.285714285714285	14.285714285714285	0.9669494528122298	-3.589592246562489	5.523491152186949	0.6312033436684473	99.87354944471544	False	-0.249842848503832	1.99180565713286	WI38_HRAS
ICAM1	8	7	4	3	1	87.5	57.14285714285714	14.285714285714285	14.285714285714285	0.7779540762727813	-0.5654346140688146	2.121342766614377	0.2132026298055029	99.24686354775332	True	0.5396446002472807	1.1045306600683265	IMR90_Replicative
FOS	8	5	3	2	3	62.5	60.0	20.0	20.0	-0.1944583448147167	-2.7262767938513472	2.3373601042219136	0.8610305523572599	98.6292559500742	False	-0.9147184100765232	0.4345689494178516	WI38_IR
