Gene	Models	Estimator	Pooled_log2FoldChange	Pooled_SE	CI95_lower	CI95_upper	Pooled_pvalue	Pooled_fold_change	Q	Q_df	Q_pvalue	Tau_squared	I2_percent	Heterogeneity	Overall_effect
CDKN2B	8	Paule-Mandel random effects	0.5851811471900102	0.4675184232740877	-0.33115496242720166	1.5015172568072221	0.2106882940035072	1.5002273485025115	275.2276004722105	7	1.1696835215923664e-55	1.6746544664782166	97.45665042750436	Considerable	No clear overall direction
IL1A	8	Paule-Mandel random effects	0.44125984977247334	1.4706605208779955	-2.4412347711483977	3.3237544706933444	0.764145157748679	1.3577895149441623	1042.9313964505372	7	6.366430351847248e-221	17.07469657167701	99.32881491305915	Considerable	No clear overall direction
CXCL8	8	Paule-Mandel random effects	0.9669494528122298	1.9269622631551022	-2.8098965829717706	4.74379548859623	0.6158082901075201	1.9547030453935794	5535.760585825209	7	0.0	29.390788781270288	99.87354944471544	Considerable	No clear overall direction
ICAM1	8	Paule-Mandel random effects	0.7779540762727813	0.5681190644094264	-0.3355592899696943	1.891467442515257	0.17088976613212847	1.7146974903170642	929.4464474688846	7	2.0990153079195866e-196	2.5103709306490036	99.24686354775332	Considerable	No clear overall direction
FOS	8	Paule-Mandel random effects	-0.1944583448147167	1.0707064546633882	-2.293042995954958	1.9041263063255243	0.8558834161425897	0.8739009376112771	510.6715582955726	7	4.0694841013881803e-106	8.89387268189516	98.6292559500742	Considerable	No clear overall direction
