Gene	Full_pooled_log2FoldChange	Minimum_LOO_pooled_log2FoldChange	Maximum_LOO_pooled_log2FoldChange	All_LOO_same_direction_as_full	Any_LOO_CI_excludes_zero	Most_influential_omitted_model	Maximum_absolute_effect_change	Minimum_LOO_I2_percent	Maximum_LOO_I2_percent
CDKN2B	0.5851811471900102	0.22253691948552656	0.7711101318849548	True	False	WI38_HRAS	0.3626442277044837	85.37566809334477	97.80443732969812
IL1A	0.44125984977247334	-0.6381796342390974	1.1493387712583238	False	False	WI38_HRAS	1.0794394840115706	98.24448048598481	99.4243109102525
CXCL8	0.9669494528122298	-0.249842848503832	1.99180565713286	False	False	WI38_HRAS	1.2167923013160618	99.67264200054564	99.8916138082746
ICAM1	0.7779540762727813	0.5396446002472807	1.1045306600683265	True	True	IMR90_Replicative	0.3265765837955451	99.01273307198325	99.35422896196053
FOS	-0.1944583448147167	-0.9147184100765232	0.4345689494178516	False	False	WI38_IR	0.7202600652618065	97.27167055723204	98.82504036591936
