Comparison	Gene	Control_n	Senescent_n	Control_mean_CPM	Senescent_mean_CPM	Control_SD_CPM	Senescent_SD_CPM	Descriptive_log2FC	Direction
HAEC_IR	FOS	2	3	0.6259513163997339	0.5815677721034286	0.08337460371759399	0.1238017092428963	-0.03992868302946643	Higher in Control
HAEC_IR	IL1A	2	3	0.40070667648797154	0.10511484812133919	0.00014317892430186746	0.03615624460112182	-0.34195856279245895	Higher in Control
HAEC_IR	CXCL8	2	3	90.38581652806117	115.34212068108617	2.7355865581988277	2.1413237042520743	0.34833133163274926	Higher in Senescent
HAEC_IR	CDKN2B	2	3	6.535562745646086	8.207666444326687	0.21490876625214023	0.46421785669623167	0.28912031717935577	Higher in Senescent
HAEC_IR	ICAM1	2	3	5.649296612680699	20.125838978889984	0.91087448221206	0.6739476069262703	1.6677349967052926	Higher in Senescent
HUVEC_IR	FOS	3	3	0.590776436962893	0.48597497123963523	0.08400172122701502	0.11643181351722873	-0.09832128150230676	Higher in Control
HUVEC_IR	IL1A	3	3	0.39417253022820636	0.37391810749776827	0.12666737600186895	0.11762591648495843	-0.02111309242936585	Higher in Control
HUVEC_IR	CXCL8	3	3	40.29930917411681	29.360582479911685	4.30375353499876	0.5329768001775775	-0.44391817975560227	Higher in Control
HUVEC_IR	CDKN2B	3	3	4.736509461502391	6.512289238268409	0.5416636436729296	0.14121073355600022	0.3890794547226621	Higher in Senescent
HUVEC_IR	ICAM1	3	3	2.048155134828646	7.443663978245607	0.21783730988504932	0.708305266618334	1.4699328365502717	Higher in Senescent
IMR90_IR	FOS	2	2	25.351317868820743	1.1229671373987435	11.31233753383317	0.027411587680519565	-3.63372117076205	Higher in Control
IMR90_IR	IL1A	2	2	2.5049838728145417	0.13051746165817546	0.0630526113452368	0.017361303532637044	-1.632424530372915	Higher in Control
IMR90_IR	CXCL8	2	2	148.99404549127948	3.6156164671132784	17.992297995759998	0.2987614165574362	-5.02223807032047	Higher in Control
IMR90_IR	CDKN2B	2	2	8.811968627338233	8.91929728331845	0.25312991200560747	0.30234672828901027	0.015695297771262516	Higher in Senescent
IMR90_IR	ICAM1	2	2	11.180355955944357	4.645273505079433	0.48927210691747486	0.04267994011971961	-1.1094409106245267	Higher in Control
IMR90_Replicative	FOS	2	2	25.351317868820743	0.9255068729549925	11.31233753383317	0.040798374445427145	-3.774564937153169	Higher in Control
