GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
56137	6.45e-05	1.78e-05	0.6486	-4.291159	-2.7831138	11.04	PCDHA12	protocadherin alpha 12
150372	0.000179	5.29e-05	0.6882	-4.04256	-2.7822451	10.22	NFAM1	NFAT activating protein with ITAM motif 1
2354	6.32e-45	2.25e-46	0.1929	-14.298183	-2.758094	165.63	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
133522	4.68e-13	6.07e-14	0.3662	-7.506523	-2.7490886	35.28	PPARGC1B	PPARG coactivator 1 beta
27344	9.5e-06	2.36e-06	0.5808	-4.720054	-2.741459	14.25	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor
2304	3.6199999999999994e-52	1.05e-53	0.1776	-15.428661	-2.7396625	150.32	FOXE1	forkhead box E1
2169	1.1e-07	2.2e-08	0.488	-5.595787	-2.7308423	19.0	FABP2	fatty acid binding protein 2
6547	1.3299999999999998e-23	9.88e-25	0.2643	-10.267465	-2.7133407	68.13	SLC8A3	solute carrier family 8 member A3
3229	3.49e-22	2.7599999999999995e-23	0.2725	-9.941012	-2.7087693	61.92	HOXC13	homeobox C13
400823	6.37e-14	7.74e-15	0.3453	-7.77173	-2.6831912	39.73	FAM177B	family with sequence similarity 177 member B
54829	1.94e-89	2.5e-91	0.1317	-20.267224	-2.6701542	285.58	ASPN	asporin
162494	2.85e-05	7.53e-06	0.5922	-4.478238	-2.6520544	12.57	RHBDL3	rhomboid like 3
107985155	0.000108	3.09e-05	0.6353	-4.167076	-2.6472008	11.14	LOC107985155	uncharacterized LOC107985155
130399	1.15e-16	1.18e-17	0.3092	-8.555166	-2.6454479	49.87	ACVR1C	activin A receptor type 1C
8339	1.15e-09	1.89e-10	0.4149	-6.370282	-2.6433204	25.64	H2BC8	H2B clustered histone 8
4599	7.140000000000001e-27	4.57e-28	0.2403	-10.9838	-2.6388896	445.23	MX1	MX dynamin like GTPase 1
102723825	2.15e-05	5.59e-06	0.5744	-4.541228	-2.6084903	13.26	LOC102723825	uncharacterized LOC102723825
100507254	3.2599999999999994e-23	2.47e-24	0.2563	-10.178777	-2.6083717	69.27	LINC01013	long intergenic non-protein coding RNA 1013
3781	1e-135	5.79e-138	0.1041	-25.002136	-2.6032867	481.61	KCNN2	potassium calcium-activated channel subfamily N member 2
353139	7.37e-10	1.19e-10	0.404	-6.440617	-2.6017425	27.25	LCE2A	late cornified envelope 2A
1285	1.98e-24	1.4199999999999999e-25	0.2482	-10.453303	-2.594505	81.93	COL4A3	collagen type IV alpha 3 chain
105374296	1.66e-05	4.25e-06	0.5629	-4.598571	-2.5885149	13.96	LOC105374296	uncharacterized LOC105374296
105374985	1.68e-45	5.880000000000001e-47	0.1795	-14.391159	-2.5836492	142.25	LOC105374985	
101410543	3.87e-06	9.14e-07	0.5232	-4.909296	-2.5684744	16.44	XXYLT1-AS2	XXYLT1 antisense RNA 2
8347	1.66e-22	1.2999999999999998e-23	0.2564	-10.015835	-2.5683262	68.63	H2BC4	H2B clustered histone 4
101927078	3.31e-07	6.96e-08	0.4753	-5.39217	-2.5628476	19.03	LOC101927078	uncharacterized LOC101927078
1440	1.94e-07	3.99e-08	0.4661	-5.491352	-2.5594207	20.73	CSF3	colony stimulating factor 3
51191	4.37e-15	4.89e-16	0.313	-8.114141	-2.5399382	48.97	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5
7294	5.11e-09	8.98e-10	0.4131	-6.126634	-2.5311057	26.48	TXK	TXK tyrosine kinase
151258	0.0	0.0	0.0564	-44.844168	-2.5284449	3904.46	SLC38A11	solute carrier family 38 member 11
344887	2.24e-14	2.62e-15	0.3193	-7.908024	-2.5249494	42.06	NMRAL2P	NmrA like redox sensor 2, pseudogene
107986951	0.000511	0.000162	0.6695	-3.771534	-2.5248729	9.62	LOC107986951	uncharacterized LOC107986951
3713	1.54e-05	3.94e-06	0.547	-4.614597	-2.5243278	14.35	IVL	involucrin
146330	1.55e-19	1.36e-20	0.2711	-9.303513	-2.5221406	59.59	FBXL16	F-box and leucine rich repeat protein 16
414152	8.04e-08	1.58e-08	0.4458	-5.652302	-2.5195903	127.86	C10orf105	chromosome 10 open reading frame 105
152519	3.13e-50	9.599999999999999e-52	0.166	-15.13446	-2.5118543	166.95	NIPAL1	NIPA like domain containing 1
102723761	0.000153	4.47e-05	0.6144	-4.081587	-2.5076297	11.2	LINC02773	long intergenic non-protein coding RNA 2773
6649	2.37e-37	1.0499999999999999e-38	0.192	-13.011396	-2.4986279	2214.98	SOD3	superoxide dismutase 3
161145	4.13e-21	3.39e-22	0.2573	-9.688084	-2.4925497	67.86	TMEM229B	transmembrane protein 229B
9235	1.64e-83	2.35e-85	0.1273	-19.578671	-2.4923959	321.55	IL32	interleukin 32
83896	3.29e-50	1.01e-51	0.1639	-15.130981	-2.4804889	223.55	KRTAP3-1	keratin associated protein 3-1
1012	0.0	0.0	0.06	-41.307499	-2.4776222	3887.88	CDH13	cadherin 13
8365	4e-16	4.2e-17	0.2943	-8.407088	-2.4744182	49.49	H4C8	H4 clustered histone 8
107985164	6.09e-06	1.47e-06	0.5105	-4.814756	-2.4581525	16.06	LOC107985164	uncharacterized LOC107985164
