Gene	PDL20_mean_TPM	PDL53_mean_TPM	log2FC_PDL53_vs_PDL20	Welch_t_statistic	p_value	adjusted_p_value
CDKN2B	3.535313666666667	15.308692666666666	1.846366900229428	27.788221922735868	9.989570879157263e-06	4.994785439578631e-05
CXCL8	0.2699465066666667	8.262304	2.866603380469491	13.967649474171598	0.0004430164048610871	0.0011075410121527177
FOS	0.670909086	0.6241046666666666	-0.0409886275345811	-0.3165916312682274	0.7674188686027035	0.7674188686027035
ICAM1	13.814583206666669	26.330049333333335	0.8834700259624335	9.559688903133136	0.0013836969796025451	0.0023061616326709084
IL1A	0.0	0.5440433333333333	0.6267132421836067	22.32986394252447	0.0019995108264198977	0.002499388533024872
